NOM_METRO,LINIES_METRO,NOM_RENFE,LINIES_RENFE,NOM_FGC,LINIES_FGC,NOM_TRAM,LINIES_TRAM,
,,,,Vallfogona de Balaguer,RL1RL2,,,
,,,,Vallparadís Universitat,S1,,,
,,,,Vilanova de la Barca,RL1RL2,,,
,,,,Vilanova de la Sal,RL2,,,
,,,,Vilanova del Camí,R6R60,,,
,,,,,,Les Aigües,T1T2,
,,,,,,Alfons el Magnànim,T5T6,
,,,,,,Auditori-Teatre Nacional,T4,
,,,,,,Avinguda de Xile,T1T2T3,
,,,,,,Bon Viatge,T1T2,
,,,,,,Campus Diagonal-Besòs,T4,
,,,,,,Can Clota,T1T2T3,
,,,,,,Ca l'Aranyó,T4,
,,,,,,Ca n'Oliveres,T1T2T3,
,,,,,,Can Jaumandreu,T5T6,
,,,,,,Can Rigal,T1T2T3,
,,,,,,La Catalana,T5,
,,,,,,Centre Miquel Martí i Pol,T2,
,,,,,,Encants de Sant Adrià,T5,
,,,,,,Ernest Lluch,T1T2T3,
,,,,,,Espronceda,T5T6,
,,,,,,La Farinera,T5T6,
,,,,,,Fluvià,T4,
,,,,,,La Fontsanta,T2,
,,,,,,Fontsanta-Fatjó,T1T2,
,,,,,,Fòrum,T4,
,,,,,,Francesc Macià,T1T2T3,
,,,,,,Hospital Sant Joan Despí | TV3,T3,
,,,,,,Ignasi Iglésias,T1T2,
,,,,,,L'Illa,T1T2T3,
,,,,,,La Mina,T6,
,,,,,,Montesa,T1T2T3,
,,,,,,Numància,T1T2T3,
,,,,,,Llevant - les Planes,T2,
,,,,,,Parc del Besòs,T5T6,
,,,,,,El Pedró,T1T2,
,,,,,,Pere IV,T4,
,,,,,,Pius XII,T1T2T3,
,,,,,,Pont d'Esplugues,T1T2T3,
,,,,,,Port Fòrum,T4T6,
,,,,,,Rambla de Sant Just,T3,
,,,,,,Sant Feliu-Consell Comarcal,T3,
,,,,,,Sant Joan Baptista,T5,
,,,,,,Sant Martí de Provençals,T5T6,
,,,,,,La Sardana,T1T2T3,
,,,,,,Torreblanca,T3,
,,,,,,Walden,T3,
,,,,,,Wellington,T4,
